Category	Term	Count	PValue	Genes	Fold_Enrichment	Benjamini	Cluster 
GOTERM_MF_DIRECT	GO:0005515~protein binding	184	1.39E-05	"CAST, SEPT5, SMLR1, TSPO, THRA, LMO2, CROCC, PPP2R5A, EIF5, TRAPPC2L, USE1, CBX4, FGF13, VPS51, TNFSF12, KIAA0319L, TBC1D19, SART1, BBOX1, CSNK2A2, GET4, TBC1D17, APOA1, DDX11, CUL7, ANK3, ATXN10, ASMTL, ATG7, LCAT, SRRM1, WWOX, MAP2K5, ARGLU1, H1F0, MCRS1, CIZ1, POLG, PICK1, ANAPC4, MTA3, STAP2, HMG20B, PIM3, CHRAC1, RFC5, PNKP, PGLS, CHID1, SMARCE1, UBL4A, ASB3, RAB13, SCAF8, SSC5D, STK16, PAM, TDRD3, BBS5, STX8, NFKBID, GLUD1, PTH1R, MAP4K2, WDR60, UBE2V1, CTPS2, BEX3, CXXC5, ASAP3, PPCDC, FIS1, LAMB3, ALB, ARPC2, TCTEX1D2, RPL3, HNRNPD, SPIDR, TAF9, ADRA2B, LCMT1, GALT, SPPL2B, DALRD3, NTN1, SEPT10, ABCB4, EIF4B, UBE2E3, APEH, HDAC3, SRSF5, UACA, AKTIP, CIRBP, CYFIP1, RHOT2, GLMN, H3F3B, TNK2, POP4, GK, ENG, POP7, PUF60, YIPF1, DNAL4, ATL2, PYROXD1, COPS3, PDIA5, EIF2A, FES, TRAPPC6A, ASGR2, TSPAN12, LONP2, PRMT2, NISCH, MCM7, PEX1, PKN3, GSN, SMPDL3A, USP11, BRD9, INO80B, ZBTB22, LRRC20, ZC3H7B, RING1, PKN1, ELMO3, EML2, TYK2, EMC8, BBS2, EPB41L1, PSEN1, LARP7, SIL1, SIAH1, DHPS, THAP8, EXOC7, HAUS1, GPAA1, EGLN2, STAU2, FBF1, STAU1, SHQ1, SF3B2, TRIM11, NPDC1, PEX19, SH3GLB2, C1QTNF1, TOR1A, EXOC4, ABCD3, PEX14, EXOC6, UBTD1, MYOF, RBM25, PLP1, GMDS, SPSB3, SPSB2, RUFY1, C4BPB, ANXA4, PEX11A, MARCH2, PLEKHF2, PDE2A, PHB2, CDAN1, UBXN6, ALKBH3, LRP5, IGFBP5"	1.24	7.07E-03	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005778~peroxisomal membrane	7	2.02E-04	"PEX11A, ACSL1, PEX1, PEX19, PEX14, ABCD3, SLC27A2"	8.17	6.22E-02	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	109	6.72E-04	"CAST, TSPO, CROCC, PPP2R5A, PTGS1, EIF5, TRAPPC2L, FGF13, SART1, FAHD1, GET4, DDX11, CUL7, ATXN10, ASMTL, ATG7, WWOX, MAP2K5, NUDT16, MCRS1, PICK1, MTA3, KRT10, PIM3, SCYL1, UBL4A, ASB3, RAB13, SSC5D, ANAPC16, STK16, TDRD3, GLUD1, PTH1R, UBE2V1, ASAP3, CXXC5, HEXDC, TPGS1, FAM213A, ARPC2, NAGA, RPL3, SEPT10, NTN1, ABCB4, APEH, UBE2E3, SRSF5, HDAC3, UACA, AKTIP, DMTF1, GLMN, CIRBP, QPRT, TNK2, TP53I13, ENG, POP7, DNAL4, NPEPL1, COPS3, EIF2A, FES, ST6GALNAC6, PRMT2, MCM7, PEX1, GSN, USP11, INO80B, RING1, PKN1, LAS1L, GRHPR, ELMO3, EML2, TYK2, BBS2, EMC8, EPB41L1, LARP7, EPB41L5, SIAH1, DHPS, HAUS1, STAU1, TRIM11, SHQ1, PLIN5, RGS12, SH3GLB2, PEX19, CCDC62, EXOC4, BDH1, RBM25, GMDS, SPSB2, RUFY1, ANXA4, SH3BGRL, RDH10, PDE2A, CDAN1, PHB2, UBXN6, ALKBH3"	1.32	1.01E-01	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	27	1.27E-03	"FGFRL1, PTGS1, LMF1, VPS51, FES, SLC26A11, SART1, ST6GALNAC6, PKN3, CUL7, ARPC2, ALB, ANK3, WWOX, H1F0, ZP2, PICK1, GALT, TMEM5, HDAC3, PDE2A, PSEN1, AKTIP, SCYL1, LARP7, RAB13, YIPF1"	1.97	1.26E-01	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005829~cytosol	74	1.43E-03	"CAST, ALAD, THRA, EIF5, TRAPPC2L, VPS51, FES, SART1, BBOX1, FAHD1, CSNK2A2, GET4, TRAPPC6A, TBC1D17, MCM7, NISCH, APOA1, PRMT2, CUL7, PEX1, ANK3, ATXN10, GSN, ATG7, SRRM1, WWOX, MAP2K5, STAP2, ANAPC4, PKN1, GRHPR, TYK2, BBS2, COPG2, PGLS, EPB41L1, PANK1, UBL4A, SIAH1, DHPS, ANAPC16, BBS5, STX8, EXOC7, HAUS1, UBE2V1, CTPS2, BEX3, PPCDC, FBF1, SHQ1, PLIN5, PEX19, ARPC2, EXOC4, HNRNPD, RPL3, ABCD3, EXOC6, LCMT1, GMDS, GALT, EIF4B, APEH, HDAC3, PDE7B, MAN2C1, PDE2A, AKTIP, RHOT2, CYFIP1, GRK4, QPRT, GK"	1.41	1.08E-01	Cold_high_EH
GOTERM_MF_DIRECT	GO:0031418~L-ascorbic acid binding	4	5.01E-03	"PAM, EGLN2, ALKBH3, OGFOD3"	11.28	7.21E-01	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005777~peroxisome	7	6.16E-03	"PEX11A, FIS1, LONP2, PEX1, PEX19, PEX14, ABCD3"	4.24	3.25E-01	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	24	6.36E-03	"CAST, FKBP9, STX8, ZP2, ATL2, ZDHHC6, TRAPPC2L, USE1, SLC26A11, MAN1C1, STAU2, STAU1, TRAPPC6A, MARCH2, FIS1, PLEKHF2, PDE2A, PSEN1, ALB, ANK3, TOR1A, SUMF1, SIL1, LRP5"	1.83	2.87E-01	Cold_high_EH
GOTERM_BP_DIRECT	GO:0006625~protein targeting to peroxisome	3	7.01E-03	"LONP2, PEX1, PEX19"	22.82	9.93E-01	Cold_high_EH
GOTERM_BP_DIRECT	GO:2000781~positive regulation of double-strand break repair	3	7.01E-03	"NUDT16, DDX11, SPIDR"	22.82	9.93E-01	Cold_high_EH
GOTERM_CC_DIRECT	GO:0016020~membrane	50	8.10E-03	"CAST, ATL2, PPP2R5A, TNFSF12, VPS51, SLC1A4, TSPAN12, LONP2, NISCH, MCM7, ATXN10, ANO10, PTDSS2, LAS1L, KRT10, IL11RA, OGFOD3, TYK2, EMC8, PNKP, BBS2, CHID1, SCYL1, PSEN1, UBL4A, SSC5D, STK16, PAM, EXOC7, PTH1R, GPAA1, STAU2, STAU1, FIS1, ACSL1, FMO2, TOR1A, EXOC4, PEX14, ABCD3, ECI2, ABCB8, SYT12, SPPL2B, RFNG, MAN1C1, ABCB4, PHB2, RHOT2, TNK2"	1.43	3.09E-01	Cold_high_EH
GOTERM_CC_DIRECT	GO:0005765~lysosomal membrane	13	1.11E-05	"VASN, CLN3, VPS41, ANPEP, CTSA, STARD3, LRP1, ECE1, GNB2, KXD1, GAA, VPS11, CLCN7"	5.03	2.72E-03	Cold_high_EM
GOTERM_CC_DIRECT	GO:0043202~lysosomal lumen	8	1.51E-05	"GPC4, MAN2B2, TXNDC5, SMPD1, GAA, CTSA, AGRN, PLBD2"	9.97	1.86E-03	Cold_high_EM
GOTERM_CC_DIRECT	GO:0016020~membrane	41	2.55E-05	"GALNT2, PRKCZ, NRBP1, SLC39A11, STK11, MAN1B1, MLH1, INTS1, CTSA, ESYT2, HNRNPL, BAG6, ECE1, PCBP1, PCBP2, EDC3, PEX16, RPN1, MGLL, PARD3B, ACTB, CLN3, SLC12A9, PIGT, CDK9, PNPLA2, VPS41, SGTA, DCTN1, CLPTM1, GNB2, TSC2, SNRNP200, KREMEN1, GAA, GNAS, MYH14, PLA2G4C, POFUT1, CLCN7, PYGB"	1.97	2.09E-03	Cold_high_EM
GOTERM_MF_DIRECT	GO:0005515~protein binding	116	5.35E-05	"A2M, NRBP1, THOP1, LTBP4, TSSC4, MYLIP, STARD3, TBC1D16, UNC5B, CDKN2D, GATA4, MAP3K8, RPN1, RARA, AKIRIN1, TMUB2, TBC1D9B, PLD3, AP5Z1, RNF220, VPS41, RAD9A, DCTN4, DCTN1, TRAPPC12, JUP, MAP4K4, PIAS3, TXNDC5, MAPK3, VAMP3, LRCH4, FIP1L1, STK11, RAD23A, CIART, SETD1A, PPIL2, ITGB5, ZMYND8, HNRNPL, ECE1, FBXW8, RNF168, AGRN, TRAF6, UNC119, MAP2K2, KLF11, TAF7, ADPRH, TMEM115, CORO1B, TMEM8B, TSC2, ABL2, CSTF1, HNF1B, HNF1A, TLN2, MLH1, BAP1, BAG6, PCBP1, PCBP2, EDC3, DDA1, VPS11, VASN, CLN3, GPRASP2, CDK9, PIGT, IRF2BP1, ZBTB26, MXD4, AMBP, PJA1, GNB2, GRN, TBCD, SNRNP200, GNAS, USP22, CARM1, PARVB, ADAM15, TF, PRKCZ, GALNT2, PARD3, TFR2, KMT2B, NLRX1, WBP11, ESYT2, ELMOD3, COL17A1, PEX16, LARS, ACTB, ZBTB7B, RBM22, SUN2, PROSER2, SGTA, DOLK, CLPTM1, LRP1, KXD1, HNRNPUL1, POLDIP3, KREMEN1, SMPD1, SNX30, PYGB"	1.29	1.96E-02	Cold_high_EM
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	44	6.25E-04	"GALNT2, TF, PRKCZ, A2M, STK11, CPQ, LTBP4, ITGB5, ANPEP, CTSA, PLBD2, HNRNPL, GPC4, ANGPTL6, SIAE, ECE1, MAN2B2, SERPINA7, PCBP1, PCBP2, AGRN, DPP7, ACTB, VASN, PLD3, CES2, SLC12A9, HDAC11, UBL3, AMBP, JUP, CORO1B, GNB2, GRN, ARF3, TXNDC5, MAPK3, SMPD1, GAA, TPRG1L, GNAS, MYH14, ADAM15, PYGB"	1.66	3.77E-02	Cold_high_EM
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	16	7.74E-04	"INF2, PRKCZ, TF, GALNT2, NRBP1, MAP2K2, ANGEL1, CORO1B, ECE1, FBXW8, GNB2, ARF3, TSC2, GNAS, RARA, TRAF6"	2.73	3.74E-02	Cold_high_EM
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	43	9.77E-04	"FIP1L1, HNF1B, NRBP1, HNF1A, STK11, PPIL2, KMT2B, SETD1A, BAP1, INTS1, MLH1, CTSA, WBP11, HNRNPL, BAG6, PCBP1, CDKN2D, PCBP2, GATA4, RNF169, MGLL, RARA, RNF168, AKIRIN1, ACTB, RBM22, ZBTB7B, AP5Z1, LIG1, TAF7, CDK9, RAD9A, IRF2BP1, HNRNPA0, HNRNPUL1, PIAS3, POLDIP3, MAPK3, SNRNP200, ESRP2, PLA2G4C, CARM1, CSTF1"	1.64	3.93E-02	Cold_high_EM
GOTERM_CC_DIRECT	GO:0005764~lysosome	9	1.34E-03	"CLN3, SIAE, CPQ, TSC2, SMPD1, GAA, CTSA, VPS11, DPP7"	4.22	4.60E-02	Cold_high_EM
GOTERM_BP_DIRECT	"GO:0000398~mRNA splicing, via spliceosome"	9	1.60E-03	"HNRNPL, RBM22, FIP1L1, HNRNPUL1, PCBP1, PCBP2, SNRNP200, CSTF1, HNRNPA0"	4.10	8.03E-01	Cold_high_EM
GOTERM_CC_DIRECT	GO:0030529~intracellular ribonucleoprotein complex	7	1.80E-03	"ACTB, HNRNPL, HNRNPUL1, PCBP1, PCBP2, SNRNP200, HNRNPA0"	5.45	5.39E-02	Cold_high_EM
GOTERM_MF_DIRECT	GO:0016874~ligase activity	10	1.82E-03	"PJA1, RNF220, PIAS3, LIG1, PPIL2, RNF169, RNF168, IRF2BP1, MYLIP, TRAF6"	3.61	2.87E-01	Cold_high_EM
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	11	3.91E-03	"ACTB, JUP, CORO1B, LRP1, GNB2, TLN2, MAP2K2, PCBP2, MAPK3, ITGB5, PARVB"	2.98	1.02E-01	Cold_high_EM
GOTERM_BP_DIRECT	GO:0007040~lysosome organization	4	5.24E-03	"CLN3, GAA, VPS11, MBTPS1"	11.24	9.30E-01	Cold_high_EM
GOTERM_CC_DIRECT	GO:0005911~cell-cell junction	7	5.75E-03	"JUP, PRKCZ, CADM3, COL17A1, PARD3, TLN2, MAP2K2"	4.31	1.32E-01	Cold_high_EM
GOTERM_CC_DIRECT	GO:0005769~early endosome	8	5.95E-03	"TBC1D16, TF, CLN3, ECE1, MAP2K2, MAPK3, VPS41, VPS11"	3.70	1.25E-01	Cold_high_EM
GOTERM_BP_DIRECT	GO:0043277~apoptotic cell clearance	3	9.27E-03	"LRP1, TXNDC5, RARA"	20.23	9.57E-01	Cold_high_EM
GOTERM_MF_DIRECT	GO:0005515~protein binding	11	8.43E-03	"RLF, SSBP3, UBA1, CSRNP1, HCFC1, PRKACA, POM121C, CIC, CDC42EP4, ZBTB43, WIZ"	1.76	2.81E-01	Cold_high_EL
GOTERM_CC_DIRECT	GO:0005634~nucleus	9	8.89E-03	"RLF, SSBP3, UBA1, CSRNP1, HCFC1, PRKACA, CIC, ZBTB43, WIZ"	2.33	3.54E-01	Cold_high_EL
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	86	1.04E-11	"SRSF1, ZBTB34, TAF1D, SNIP1, ZNF12, RPS6KB1, NFKB1, SPRTN, SENP5, RLIM, PDHB, RNGTT, SETX, CBX5, TOP1, MAX, GTF2E1, PRMT5, CLP1, TARDBP, TIA1, CASP8, PMS2, ITFG2, LUC7L3, ZNF281, RBBP5, EMSY, RBL2, DFFB, HNRNPA2B1, TMEM70, RRP8, CDK7, UBE2B, PPP1CB, IPO7, MTF2, MED17, TESK2, KPNA4, ZNF436, SMARCAD1, HAUS3, CLUAP1, PPP4R2, SRSF10, ZBTB11, COPS7B, TTC5, IVNS1ABP, DDX47, ERCC6, METTL3, ZNF326, MORC3, CDC40, GTF3C2, SPOP, STAMBP, ZMYM1, TM2D1, ZMYM4, KANSL2, PM20D2, RYBP, PPP1R10, POLR3A, STAT2, POLR3D, TRNT1, MSL2, HNRNPH3, UPF3B, HNRNPUL2, ZBED5, MAPK14, IRF1, SETD7, LIN37, SETD9, HNRNPH1, PARP2, PDCD7, RNF111, DUSP6"	2.09	2.50E-09	Cold_low_EM
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	43	1.84E-07	"SRSF1, RBM34, CRNKL1, SRSF10, FAM98A, SNIP1, NUFIP2, RSRC2, SMNDC1, ZFC3H1, TOP1, RBM4B, DDX47, CISD2, ZNF326, REXO4, TIA1, TARDBP, CDC40, HARS2, TFB2M, ZCCHC7, LUC7L3, RBM26, ZC3H15, ZC3H10, HNRNPA2B1, PPP1R10, YTHDC2, RRP8, NOA1, CSTF2T, RPF1, DDX6, TEFM, IFIT2, HNRNPH3, YWHAG, UPF3B, HNRNPUL2, PTCD2, HNRNPH1, GIGYF2"	2.40	6.43E-05	Cold_low_EM
GOTERM_CC_DIRECT	GO:0005634~nucleus	116	3.31E-06	"CTDSPL, SNIP1, ZNF781, RPS6KB1, CLK1, SPRTN, NFXL1, PDHB, SMNDC1, SETX, CBX5, ATP2B1, TOP1, GTF2E1, ANKRD54, ASPA, ZNF182, CLP1, TARDBP, CLK4, PMS2, LUC7L3, RBL2, ZNF644, DFFB, TAZ, HNRNPA2B1, ZNF189, RRP8, PPP1CB, MTF2, MED17, TESK2, PDE4DIP, NFE2L2, PUS3, SRSF10, ZNF131, ANKRD30A, SESN1, TROVE2, ZNF324, METTL3, ZNF326, SPOP, DVL2, ZNF623, TM2D1, TAOK2, YTHDC2, ARMC1, DDX6, HNRNPH3, UPF3B, DNAJB2, HNRNPH1, PARP2, SRSF1, ZNF200, ZNF12, NFKB1, MLH3, RLIM, SENP5, SENP7, RNGTT, MAX, PRMT5, ACTR5, ZNF281, NFKBIZ, TMCO6, RBBP5, ZNF282, ZNF280D, CDK7, UBE2B, BLMH, UBD, MSANTD4, ZNF33B, ZFP62, RBM34, PPP4R2, LCORL, ZBTB6, SSFA2, ZNF75A, GON4L, NUFIP2, TSC22D1, ERCC6, STRIP1, REXO4, USP37, THAP1, RANBP3L, PPWD1, STAMBP, BRD2, AIMP2, PPP1R10, ZFP3, RCAN1, ZNF668, STAT2, PREB, HARBI1, HNRNPUL2, RASSF1, MAPK14, IRF1, APBB3, KATNAL1, CARNMT1, RNF111"	1.45	3.97E-04	Cold_low_EM
GOTERM_MF_DIRECT	GO:0003677~DNA binding	50	1.62E-05	"ZBTB34, TAF1D, ZNF781, ZNF12, NFKB1, SPRTN, SETX, TOP1, ZNF182, PMS2, LUC7L3, ZNF282, ZNF644, ZNF280D, RBL2, DFFB, ZNF189, MTF2, NFE2L2, MSANTD4, ZNF33B, ZNF436, SMARCAD1, RABGAP1, LCORL, ZBTB6, ZNF131, ANKRD30A, ZNF75A, GON4L, TTC5, ERCC6, ZNF324, ZNF326, GTF3C2, ZNF623, ZMYM1, ZMYM4, RYBP, PPP1R10, POLR3A, RCAN1, ZFP3, ZNF668, POLR3D, STAT2, PREB, ZBED5, IRF1, PARP2"	1.88	2.84E-03	Cold_low_EM
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	34	3.74E-05	"SRSF1, SMARCAD1, RBM34, ZFP62, ZBTB34, SRSF10, ZBTB11, ZNF131, ZNF200, ZNF781, ZNF12, ZNF75A, RBM4B, DDX47, ZNF324, REXO4, TIA1, TARDBP, THAP1, ZCCHC7, RBM26, ZNF623, ZMYM1, ZNF282, ZNF644, HNRNPA2B1, ZNF189, YTHDC2, ZNF668, DDX6, HNRNPH3, ZNF33B, HNRNPH1, ZNF436"	2.17	4.35E-03	Cold_low_EM
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	104	3.78E-04	"METTL21A, PDLIM5, SNIP1, RPS6KB1, TXLNA, CLK1, SMNDC1, SETX, GTF2E1, ANKRD54, ASPA, CLP1, TIA1, TARDBP, PMS2, GDF9, RBL2, DFFB, HNRNPA2B1, RRP8, FADD, EIF2AK1, MTF2, CNTROB, TESK2, PDE4DIP, NFE2L2, EIF2AK3, SLC40A1, ZNF436, RTP3, SRSF10, COPS7B, AKAP10, TTC5, ANGEL2, SESN1, SH3BP5L, TROVE2, NDRG3, NAA50, HARS2, SPOP, DVL2, ZC3H15, ZMYM1, TAOK2, ZMYM4, RYBP, IREB2, ARMC1, DDX6, UPF3B, PPIC, HNRNPH1, PARP2, SRSF1, CRNKL1, NFKB1, RLIM, MAX, TRIM2, PRMT5, ACTR5, RANBP6, CASP8, KLHL21, KLHL20, ZCCHC7, TMCO6, UBE2A, KCTD20, CDK7, UBE2B, BLMH, IPO7, KRIT1, MAP3K10, UBD, ARL4D, PPP4R2, SSFA2, KLC4, IVNS1ABP, NUFIP2, TSC22D1, STRIP1, MTMR6, STAMBP, IPP, BRD2, NAT6, RCAN1, STAT2, IFIT2, HARBI1, ZBED5, RASSF1, MAPK14, IRF1, APBB3, KATNAL1, DUSP6, RNF111"	1.34	2.98E-02	Cold_low_EM
GOTERM_CC_DIRECT	GO:0005730~nucleolus	27	4.19E-04	"RBM34, RBBP5, ZC3H15, RBL2, TAOK2, DFFB, RRP8, SENP5, PPP1CB, RPF1, CBX5, SETX, DDX6, TOP1, RBM4B, DDX47, UPF3B, ERCC6, REXO4, PRKRIP1, UBD, SETD7, THAP1, ARL4D, PARP2, ZCCHC7, RNF111"	2.13	2.48E-02	Cold_low_EM
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	11	5.32E-04	"SRSF1, RBM4B, DDX47, PPP4R2, METTL3, ZNF326, PTCD2, TARDBP, HNRNPA2B1, SMNDC1, RBM26"	3.91	4.22E-01	Cold_low_EM
GOTERM_BP_DIRECT	"GO:0000398~mRNA splicing, via spliceosome"	12	7.76E-04	"SRSF1, HNRNPH3, UPF3B, CRNKL1, METTL3, SRSF10, CLP1, CDC40, HNRNPA2B1, HNRNPH1, PDCD7, PPWD1"	3.44	3.29E-01	Cold_low_EM
GOTERM_BP_DIRECT	GO:0006396~RNA processing	8	8.27E-04	"ZFC3H1, TRNT1, HNRNPH3, CRNKL1, YTHDC2, HNRNPH1, RNGTT, SETX"	5.25	2.47E-01	Cold_low_EM
GOTERM_MF_DIRECT	GO:0005515~protein binding	165	1.16E-03	"METTL21A, PDLIM5, TTC9C, SNIP1, RPS6KB1, CLK1, SPRTN, TXLNA, PDHB, SMNDC1, CBX5, SETX, ATP2B1, GTF2E1, TOP1, CISD2, ASPA, ANKRD54, IFT20, TIA1, TARDBP, CLK4, FGFR1OP2, PMS2, LUC7L3, ATG9A, RBL2, HNRNPA2B1, FADD, RRP8, CSTF2T, TMEM25, PPP1CB, NDEL1, MED17, PRKRIP1, CNTROB, TESK2, PDE4DIP, NFE2L2, EIF2AK3, SLC40A1, ZNF436, RTP3, SRSF10, NAPG, PFKFB2, COPS7B, TTC5, SESN1, ZFC3H1, R3HCC1L, DDX47, NAA50, ZNF326, CDC40, HARS2, KBTBD7, LYSMD1, KIF1BP, SPOP, DVL2, ZC3H15, TBC1D10B, ZMYM4, KANSL2, IREB2, RYBP, YTHDC2, RPF1, ARMC1, DDX6, TEFM, HNRNPH3, UPF3B, PPIC, DNAJB2, HNRNPH1, PARP2, SRSF1, ARMT1, BCKDK, ABCF3, NDUFAF7, CRNKL1, TAF1D, MOB3C, NFKB1, DPH2, MLH3, MITD1, SENP5, SENP7, RBM4B, MAX, TRIM2, ACTR5, CCDC43, PRMT5, RANBP6, CASP8, ATP8B1, MKKS, ZCCHC7, KLHL20, AGPAT1, ZNF281, NFKBIZ, EMSY, UBE2A, RBBP5, TMCO6, ZC3H10, NECTIN3, CDK7, ARRDC3, UBE2B, CIAO1, BLMH, IPO7, KRIT1, UBD, KPNA4, ARL4D, ZNF33B, SMARCAD1, CLUAP1, HAUS3, PPP4R2, LCORL, RABGAP1, ZBTB6, FAM98A, KLC4, NUFIP2, TSC22D1, ERCC6, STRIP1, PIKFYVE, USP37, THAP1, MTMR6, RBM26, STAMBP, BRD2, AIMP2, VTA1, UNC119B, NOA1, STAT2, PREB, IFIT2, COG4, GLYAT, YWHAG, MAPK14, RASSF1, IRF1, SETD7, TMTC3, LIN37, APBB3, KATNAL1, GGA3, RNF111"	1.18	9.65E-02	Cold_low_EM
GOTERM_MF_DIRECT	GO:0003723~RNA binding	20	1.18E-03	"SRSF1, PUS3, CRNKL1, SRSF10, PUS10, HNRNPA2B1, IREB2, RLIM, NUFIP2, RPF1, TRNT1, IFIT2, TROVE2, HNRNPH3, MORC3, TARDBP, TIA1, NSUN3, HNRNPH1, RBM26"	2.30	7.94E-02	Cold_low_EM
GOTERM_BP_DIRECT	"GO:0006355~regulation of transcription, DNA-templated"	40	1.20E-03	"ZFP62, ZBTB34, SRSF10, ZBTB6, ZBTB11, TAF1D, SNIP1, ZNF131, ANKRD30A, ZNF200, ZNF781, ZNF12, ZNF75A, RLIM, TSC22D1, GTF2E1, MAX, ZNF182, ZNF324, REXO4, PRMT5, ACTR5, TARDBP, TFB2M, THAP1, ZNF623, RBBP5, EMSY, ZNF282, ZNF644, ZNF189, ZFP3, RCAN1, ZNF668, PREB, TEFM, SETD7, APBB3, ZNF33B, ZNF436"	1.69	2.66E-01	Cold_low_EM
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	10	1.24E-03	"RBM4B, DDX47, PPP4R2, HNRNPH3, ZNF326, TARDBP, CDC40, IVNS1ABP, PDCD7, LUC7L3"	3.83	2.25E-01	Cold_low_EM
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	15	1.34E-03	"SRSF1, RBM34, SRSF10, HNRNPA2B1, RCAN1, CSTF2T, ATP2B1, RBM4B, R3HCC1L, HNRNPH3, UPF3B, TARDBP, TIA1, HNRNPH1, RBM26"	2.72	7.51E-02	Cold_low_EM
GOTERM_BP_DIRECT	GO:0006383~transcription from RNA polymerase III promoter	5	1.68E-03	"TROVE2, POLR3A, GTF3C2, IVNS1ABP, POLR3D"	9.64	2.51E-01	Cold_low_EM
GOTERM_BP_DIRECT	GO:0006376~mRNA splice site selection	4	2.20E-03	"SRSF1, SRSF10, LUC7L3, SETX"	14.97	2.76E-01	Cold_low_EM
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	7	2.69E-03	"HNRNPH3, CRNKL1, ZNF326, CDC40, HNRNPA2B1, IVNS1ABP, SMNDC1"	5.03	1.21E-01	Cold_low_EM
GOTERM_CC_DIRECT	GO:0031463~Cul3-RING ubiquitin ligase complex	6	3.09E-03	"IPP, KLHL9, KBTBD7, KLHL21, KLHL20, SPOP"	6.04	1.17E-01	Cold_low_EM
GOTERM_BP_DIRECT	GO:0009411~response to UV	5	4.13E-03	"UBE2A, TROVE2, ERCC6, SPRTN, UBE2B"	7.57	4.12E-01	Cold_low_EM
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	48	6.54E-03	"ZFP62, ZBTB34, CTDSPL, ZBTB6, ZBTB11, MOB3C, ZNF131, ZNF781, ZNF200, ZNF12, ZNF75A, SPRTN, ZFC3H1, ATP2B1, GTF2E1, TRIM2, TROVE2, CISD2, ASPA, ZNF182, ZNF324, ZNF326, PIKFYVE, OMA1, RBM26, STAMBP, ZNF281, ZNF623, ZC3H15, ZNF282, ZNF644, ZC3H10, ZNF280D, IREB2, PPP1R10, ZNF189, ZFP3, POLR3A, ZNF668, PPP1CB, ARMC1, HARBI1, ZBED5, RASSF1, TESK2, NLN, ZNF33B, ZNF436"	1.46	2.80E-01	Cold_low_EM
GOTERM_BP_DIRECT	GO:0034612~response to tumor necrosis factor	4	6.77E-03	"CASP8, UBD, RPS6KB1, YTHDC2"	10.18	5.40E-01	Cold_low_EM
GOTERM_CC_DIRECT	GO:0005829~cytosol	83	8.15E-07	"NCBP1, CNOT8, GNPDA1, IDE, CLTC, OGDH, ITSN1, BAG5, HSPH1, TP53I3, FAM109A, UBXN2B, CASP7, BAG3, EEF2K, FRAT2, TUBG1, SEC24C, RHOF, HSP90AA1, CHAC2, SOCS2, PKN2, SKP2, HERC4, STK4, GCC1, PSMA1, ADO, NDEL1, ATG4A, RIPK1, TRIM32, NEK9, SERP1, USP8, EXOC8, RHPN2, FKBP4, MAPKAPK3, ASNSD1, AZIN1, RFFL, ATP6V1B2, RIC1, ZFP36L1, TPI1, THTPA, NUMA1, MTPN, GOLPH3L, WIPF2, GYS1, DNAJA1, ETNK1, PAFAH1B1, EIF3J, TNPO1, HSPA8, FGD4, DCTD, TXNIP, GSTA2, PARD6B, WDTC1, CCP110, UPF1, PDS5A, CDC23, BIRC3, AMPD2, BIRC2, MIS12, CISH, GPI, RNF114, EIF4E, JMJD6, HSPA4L, ATG16L1, DNAJB4, DUSP7, DNAJB5"	1.68	2.34E-04	Cold_low_EL
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	8	4.84E-06	"HSPH1, HSP90AA1, HSPA4L, DNAJA1, DNAJB4, UBXN4, HSPA8, DNAJB5"	11.59	6.21E-03	Cold_low_EL
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	10	6.84E-06	"BAG5, BAG3, DNAJA1, STIP1, ATP1A1, AHSA2, DNAJB4, OGDH, BIRC2, DNAJB5"	7.52	2.99E-03	Cold_low_EL
