pathway,GO
ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS,GO:0006924
INFLAMMATORY_CELL_APOPTOTIC_PROCESS,GO:0006925
SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION,GO:0006930
HYPOTONIC_RESPONSE,GO:0006971
DNA_DAMAGE_INDUCED_PROTEIN_PHOSPHORYLATION,GO:0006975
ER_OVERLOAD_RESPONSE,GO:0006983
RESPONSE_TO_STEROL_DEPLETION,GO:0006991
CELLULAR_RESPONSE_TO_NITROGEN_STARVATION,GO:0006995
NUCLEOLUS_ORGANIZATION,GO:0007000
OUTER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,GO:0007008
TUBULIN_COMPLEX_ASSEMBLY,GO:0007021
CYTOPLASM_ORGANIZATION,GO:0007028
PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE,GO:0007039
LYSOSOMAL_LUMEN_ACIDIFICATION,GO:0007042
SPINDLE_ORGANIZATION,GO:0007051
MITOTIC_NUCLEAR_ENVELOPE_DISASSEMBLY,GO:0007077
MITOTIC_METAPHASE_PLATE_CONGRESSION,GO:0007080
MITOTIC_NUCLEAR_ENVELOPE_REASSEMBLY,GO:0007084
MALE_MEIOTIC_NUCLEAR_DIVISION,GO:0007140
FEMALE_MEIOTIC_NUCLEAR_DIVISION,GO:0007143
FEMALE_MEIOSIS_I,GO:0007144
RECEPTOR_GUANYLYL_CYCLASE_SIGNALING_PATHWAY,GO:0007168
SIGNAL_COMPLEX_ASSEMBLY,GO:0007172
NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY,GO:0007175
COMMON_PARTNER_SMAD_PROTEIN_PHOSPHORYLATION,GO:0007182
SMAD_PROTEIN_COMPLEX_ASSEMBLY,GO:0007183
TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY,GO:0007185
NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY,GO:0007194
ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,GO:0007195
ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,GO:0007196
ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,GO:0007197
SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,GO:0007210
G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,GO:0007213
TACHYKININ_RECEPTOR_SIGNALING_PATHWAY,GO:0007217
POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET,GO:0007221
CYTOPLASMIC_SEQUESTERING_OF_NF_KAPPAB,GO:0007253
ACTIVATION_OF_JNKK_ACTIVITY,GO:0007256
SPERM_AXONEME_ASSEMBLY,GO:0007288
PENETRATION_OF_ZONA_PELLUCIDA,GO:0007341
FUSION_OF_SPERM_TO_EGG_PLASMA_MEMBRANE_INVOLVED_IN_SINGLE_FERTILIZATION,GO:0007342
EGG_ACTIVATION,GO:0007343
ZYGOTIC_DETERMINATION_OF_ANTERIOR_POSTERIOR_AXIS_EMBRYO,GO:0007354
THORAX_AND_ANTERIOR_ABDOMEN_DETERMINATION,GO:0007356
COMPARTMENT_PATTERN_SPECIFICATION,GO:0007386
NEGATIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION,GO:0007406
FOREGUT_MORPHOGENESIS,GO:0007440
MESODERMAL_CELL_FATE_SPECIFICATION,GO:0007501
GONADAL_MESODERM_DEVELOPMENT,GO:0007506
DOSAGE_COMPENSATION,GO:0007549
SENSORY_PERCEPTION_OF_SMELL,GO:0007608
SHORT_TERM_MEMORY,GO:0007614
TOLL_SIGNALING_PATHWAY,GO:0008063
MESODERMAL_CELL_MIGRATION,GO:0008078
RETROGRADE_AXONAL_TRANSPORT,GO:0008090
SPERMIDINE_METABOLIC_PROCESS,GO:0008216
OPSONIZATION,GO:0008228
REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GO:0008277
POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,GO:0008284
NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,GO:0008285
INTRACELLULAR_MRNA_LOCALIZATION,GO:0008298
ISOPRENOID_CATABOLIC_PROCESS,GO:0008300
ADULT_FEEDING_BEHAVIOR,GO:0008343
GERM_CELL_MIGRATION,GO:0008354
REGULATION_OF_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION,GO:0008582
GRANZYME_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY,GO:0008626
INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS,GO:0008627
HORMONE_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY,GO:0008628
INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS,GO:0008631
ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C,GO:0008635
PENTOSE_PHOSPHATE_SHUNT_NON_OXIDATIVE_BRANCH,GO:0009052
SERINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS,GO:0009071
PYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,GO:0009078
HOMOSERINE_METABOLIC_PROCESS,GO:0009092
GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,GO:0009101
VITAMIN_CATABOLIC_PROCESS,GO:0009111
NUCLEOSIDE_METABOLIC_PROCESS,GO:0009116
NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS,GO:0009125
PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,GO:0009126
NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009133
NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,GO:0009134
PURINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009136
PURINE_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,GO:0009146
PURINE_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS,GO:0009155
RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009156
DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009157
NUCLEOSIDE_CATABOLIC_PROCESS,GO:0009164
PYRIMIDINE_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009177
DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009202
DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,GO:0009204
PURINE_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS,GO:0009217
PYRIMIDINE_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO:0009221
ISOPENTENYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009240
PROTEIN_LIPOYLATION,GO:0009249
SNRNA_TRANSCRIPTION,GO:0009301
TRNA_TRANSCRIPTION,GO:0009304
TOXIN_BIOSYNTHETIC_PROCESS,GO:0009403
PUTRESCINE_BIOSYNTHETIC_PROCESS,GO:0009446
DETECTION_OF_VIRUS,GO:0009597
RESPONSE_TO_HERBICIDE,GO:0009635
RESPONSE_TO_LIGHT_INTENSITY,GO:0009642
PHENYLPROPANOID_METABOLIC_PROCESS,GO:0009698
RESPONSE_TO_FRUCTOSE,GO:0009750
CARBOHYDRATE_MEDIATED_SIGNALING,GO:0009756
ABSCISSION,GO:0009838
POST_EMBRYONIC_ANIMAL_MORPHOGENESIS,GO:0009886
ANIMAL_ORGAN_MORPHOGENESIS,GO:0009887
NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,GO:0009890
AUDITORY_RECEPTOR_CELL_FATE_COMMITMENT,GO:0009912
NEGATIVE_REGULATION_OF_CELL_FATE_SPECIFICATION,GO:0009996
MEIOTIC_CHROMOSOME_CONDENSATION,GO:0010032
RESPONSE_TO_ALUMINUM_ION,GO:0010044
RESPONSE_TO_MYCOTOXIN,GO:0010046
SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY,GO:0010092
EMBRYONIC_BODY_MORPHOGENESIS,GO:0010172
SUGAR_MEDIATED_SIGNALING_PATHWAY,GO:0010182
MAINTENANCE_OF_DNA_METHYLATION,GO:0010216
NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,GO:0010257
SCF_COMPLEX_ASSEMBLY,GO:0010265
RESPONSE_TO_SELENIUM_ION,GO:0010269
HEAT_ACCLIMATION,GO:0010286
REGULATION_OF_ANION_CHANNEL_ACTIVITY,GO:0010359
COP9_SIGNALOSOME_ASSEMBLY,GO:0010387
HISTONE_H3_K36_METHYLATION,GO:0010452
NEGATIVE_REGULATION_OF_CELL_FATE_COMMITMENT,GO:0010454
CENTRIOLE_CENTRIOLE_COHESION,GO:0010457
NEGATIVE_REGULATION_OF_HEART_RATE,GO:0010459
REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY,GO:0010469
PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS,GO:0010499
REGULATION_OF_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS,GO:0010511
POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS,GO:0010513
NEGATIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,GO:0010519
REGULATION_OF_TRANSPOSITION,GO:0010528
REGULATION_OF_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,GO:0010533
POSITIVE_REGULATION_OF_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,GO:0010536
POSITIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,GO:0010560
REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS,GO:0010566
POSITIVE_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION,GO:0010571
POSITIVE_REGULATION_OF_PLATELET_ACTIVATION,GO:0010572
VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,GO:0010573
MIRNA_METABOLIC_PROCESS,GO:0010586
MIRNA_CATABOLIC_PROCESS,GO:0010587
NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,GO:0010593
REGULATION_OF_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY,GO:0010603
POSITIVE_REGULATION_OF_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY,GO:0010606
REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION,GO:0010612
POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION,GO:0010615
NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_ADAPTATION,GO:0010616
PROGRAMMED_CELL_DEATH_INVOLVED_IN_CELL_DEVELOPMENT,GO:0010623
NEGATIVE_REGULATION_OF_SCHWANN_CELL_PROLIFERATION,GO:0010626
REGULATION_OF_MITOCHONDRIAL_FUSION,GO:0010635
NEGATIVE_REGULATION_OF_MITOCHONDRIAL_FUSION,GO:0010637
POSITIVE_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0010641
NEGATIVE_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0010642
MUSCLE_CELL_APOPTOTIC_PROCESS,GO:0010657
STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,GO:0010658
POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,GO:0010663
ECTODERMAL_CELL_DIFFERENTIATION,GO:0010668
REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS,GO:0010675
POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS,GO:0010676
REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY,GO:0010692
POSITIVE_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY,GO:0010694
NEGATIVE_REGULATION_OF_NOREPINEPHRINE_SECRETION,GO:0010700
NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY,GO:0010716
REGULATION_OF_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS,GO:0010728
POSITIVE_REGULATION_OF_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS,GO:0010729
PROTEIN_KINASE_A_SIGNALING,GO:0010737
POSITIVE_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING,GO:0010739
REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,GO:0010749
POSITIVE_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION,GO:0010750
REGULATION_OF_CGMP_MEDIATED_SIGNALING,GO:0010752
POSITIVE_REGULATION_OF_CGMP_MEDIATED_SIGNALING,GO:0010753
NEGATIVE_REGULATION_OF_CGMP_MEDIATED_SIGNALING,GO:0010754
REGULATION_OF_PLASMINOGEN_ACTIVATION,GO:0010755
POSITIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION,GO:0010756
NEGATIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION,GO:0010757
NEGATIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,GO:0010760
FIBROBLAST_MIGRATION,GO:0010761
NEGATIVE_REGULATION_OF_FIBROBLAST_MIGRATION,GO:0010764
REGULATION_OF_SYNAPTIC_VESICLE_PRIMING,GO:0010807
BRADYKININ_CATABOLIC_PROCESS,GO:0010815
T_CELL_CHEMOTAXIS,GO:0010818
POSITIVE_REGULATION_OF_CENTROSOME_DUPLICATION,GO:0010825
REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,GO:0010827
POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,GO:0010828
NEGATIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,GO:0010829
REGULATION_OF_PROTEIN_ADP_RIBOSYLATION,GO:0010835
POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION,GO:0010838
NEGATIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS,GO:0010868
NEGATIVE_REGULATION_OF_RECEPTOR_BIOSYNTHETIC_PROCESS,GO:0010871
REGULATION_OF_CHOLESTEROL_ESTERIFICATION,GO:0010872
POSITIVE_REGULATION_OF_CHOLESTEROL_ESTERIFICATION,GO:0010873
CHOLESTEROL_STORAGE,GO:0010878
POSITIVE_REGULATION_OF_CHOLESTEROL_STORAGE,GO:0010886
NEGATIVE_REGULATION_OF_CHOLESTEROL_STORAGE,GO:0010887
POSITIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE,GO:0010890
NEGATIVE_REGULATION_OF_SEQUESTERING_OF_TRIGLYCERIDE,GO:0010891
POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS,GO:0010898
REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,GO:0010901
REGULATION_OF_ISOMERASE_ACTIVITY,GO:0010911
REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010915
POSITIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL,GO:0010918
MACROPHAGE_CYTOKINE_PRODUCTION,GO:0010934
NEGATIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION,GO:0010936
POSITIVE_REGULATION_OF_NECROTIC_CELL_DEATH,GO:0010940
NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_COMPETITIVE_PROMOTER_BINDING,GO:0010944
NEGATIVE_REGULATION_OF_VITAMIN_D_BIOSYNTHETIC_PROCESS,GO:0010957
MAGNESIUM_ION_HOMEOSTASIS,GO:0010960
CELLULAR_MAGNESIUM_ION_HOMEOSTASIS,GO:0010961
REGULATION_OF_PHOSPHATE_TRANSPORT,GO:0010966
REGULATION_OF_MICROTUBULE_NUCLEATION,GO:0010968
NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,GO:0010977
REGULATION_OF_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010982
NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010985
POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010986
REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010988
NEGATIVE_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,GO:0010989
REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY,GO:0010990
NEGATIVE_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY,GO:0010991
UBIQUITIN_RECYCLING,GO:0010992
FREE_UBIQUITIN_CHAIN_POLYMERIZATION,GO:0010994
REGULATION_OF_TRANSLATIONAL_INITIATION_BY_EIF2_ALPHA_PHOSPHORYLATION,GO:0010998
MICROGLIA_DIFFERENTIATION,GO:0014004
GLIAL_CELL_PROLIFERATION,GO:0014009
SCHWANN_CELL_PROLIFERATION,GO:0014010
PERIPHERAL_NERVOUS_SYSTEM_AXON_REGENERATION,GO:0014012
NEURAL_CREST_FORMATION,GO:0014029
REGULATION_OF_NEURON_MATURATION,GO:0014041
POSITIVE_REGULATION_OF_NEURON_MATURATION,GO:0014042
POSITIVE_REGULATION_OF_GLUTAMATE_SECRETION,GO:0014049
NEGATIVE_REGULATION_OF_GLUTAMATE_SECRETION,GO:0014050
GAMMA_AMINOBUTYRIC_ACID_SECRETION,GO:0014051
REGULATION_OF_GAMMA_AMINOBUTYRIC_ACID_SECRETION,GO:0014052
REGULATION_OF_SEROTONIN_SECRETION,GO:0014062
NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,GO:0014067
SKELETAL_MUSCLE_SATELLITE_CELL_ACTIVATION,GO:0014719
REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,GO:0014722
POSITIVE_REGULATION_OF_MUSCLE_ADAPTATION,GO:0014744
NEGATIVE_REGULATION_OF_MUSCLE_ADAPTATION,GO:0014745
SMOOTH_MUSCLE_ADAPTATION,GO:0014805
REGULATION_OF_SOMITOGENESIS,GO:0014807
SKELETAL_MUSCLE_SATELLITE_CELL_DIFFERENTIATION,GO:0014816
TONIC_SMOOTH_MUSCLE_CONTRACTION,GO:0014820
ARTERY_SMOOTH_MUSCLE_CONTRACTION,GO:0014824
INTESTINE_SMOOTH_MUSCLE_CONTRACTION,GO:0014827
GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION,GO:0014831
URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION,GO:0014848
SKELETAL_MUSCLE_CELL_PROLIFERATION,GO:0014856
SKELETAL_MYOFIBRIL_ASSEMBLY,GO:0014866
RESPONSE_TO_MUSCLE_INACTIVITY,GO:0014870
TRANSITION_BETWEEN_FAST_AND_SLOW_FIBER,GO:0014883
STRIATED_MUSCLE_ATROPHY,GO:0014891
MUSCLE_HYPERPLASIA,GO:0014900
SMOOTH_MUSCLE_CELL_MIGRATION,GO:0014909
REGULATION_OF_LUNG_BLOOD_PRESSURE,GO:0014916
HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS_POLYSACCHARIDE_CHAIN_BIOSYNTHETIC_PROCESS,GO:0015014
HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS_ENZYMATIC_MODIFICATION,GO:0015015
COPPER_ION_IMPORT,GO:0015677
IODIDE_TRANSPORT,GO:0015705
HEXOSE_PHOSPHATE_TRANSPORT,GO:0015712
LACTATE_TRANSPORT,GO:0015727
PROSTAGLANDIN_TRANSPORT,GO:0015732
C4_DICARBOXYLATE_TRANSPORT,GO:0015740
SUCCINATE_TRANSPORT,GO:0015744
URATE_TRANSPORT,GO:0015747
NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT,GO:0015780
GLYCEROL_TRANSPORT,GO:0015793
AROMATIC_AMINO_ACID_TRANSPORT,GO:0015801
BRANCHED_CHAIN_AMINO_ACID_TRANSPORT,GO:0015803
L_ALANINE_TRANSPORT,GO:0015808
ARGININE_TRANSPORT,GO:0015809
ASPARTATE_TRANSMEMBRANE_TRANSPORT,GO:0015810
GAMMA_AMINOBUTYRIC_ACID_TRANSPORT,GO:0015812
L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT,GO:0015813
GLYCINE_TRANSPORT,GO:0015816
ORNITHINE_TRANSPORT,GO:0015822
PROLINE_TRANSPORT,GO:0015824
L_SERINE_TRANSPORT,GO:0015825
AMINE_TRANSPORT,GO:0015837
UREA_TRANSPORT,GO:0015840
POLYAMINE_TRANSPORT,GO:0015846
NUCLEOBASE_TRANSPORT,GO:0015851
ADP_TRANSPORT,GO:0015866
ATP_TRANSPORT,GO:0015867
CHOLINE_TRANSPORT,GO:0015871
NOREPINEPHRINE_TRANSPORT,GO:0015874
FOLIC_ACID_TRANSPORT,GO:0015884
HEME_TRANSPORT,GO:0015886
COBALAMIN_TRANSPORT,GO:0015889
LONG_CHAIN_FATTY_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE,GO:0015911
PEROXISOMAL_MEMBRANE_TRANSPORT,GO:0015919
PANTOTHENATE_METABOLIC_PROCESS,GO:0015939
TRNA_CATABOLIC_PROCESS,GO:0016078
SYNAPTIC_VESICLE_EXOCYTOSIS,GO:0016079
SYNAPTIC_VESICLE_DOCKING,GO:0016081
SYNAPTIC_VESICLE_PRIMING,GO:0016082
MONOTERPENOID_METABOLIC_PROCESS,GO:0016098
DITERPENOID_BIOSYNTHETIC_PROCESS,GO:0016102
TERPENOID_BIOSYNTHETIC_PROCESS,GO:0016114
GLYCOSIDE_CATABOLIC_PROCESS,GO:0016139
SYNAPTIC_VESICLE_BUDDING_FROM_PRESYNAPTIC_ENDOCYTIC_ZONE_MEMBRANE,GO:0016185
SYNAPTIC_VESICLE_MATURATION,GO:0016188
SYNAPTIC_VESICLE_UNCOATING,GO:0016191
ENDOSOMAL_TRANSPORT,GO:0016197
AXON_CHOICE_POINT_RECOGNITION,GO:0016198
AXON_MIDLINE_CHOICE_POINT_RECOGNITION,GO:0016199
IRON_SULFUR_CLUSTER_ASSEMBLY,GO:0016226
POSITIVE_REGULATION_OF_MACROAUTOPHAGY,GO:0016239
REGULATION_OF_MACROAUTOPHAGY,GO:0016241
ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN,GO:0016255
GAP_JUNCTION_ASSEMBLY,GO:0016264
FEMALE_MEIOSIS_CHROMOSOME_SEGREGATION,GO:0016321
NEURON_REMODELING,GO:0016322
NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I,GO:0016479
PROTEIN_PROCESSING,GO:0016485
BASE_CONVERSION_OR_SUBSTITUTION_EDITING,GO:0016553
CYTIDINE_TO_URIDINE_EDITING,GO:0016554
PEROXISOME_FISSION,GO:0016559
HISTONE_DEACETYLATION,GO:0016575
HISTONE_DEPHOSPHORYLATION,GO:0016576
NUCLEOSOME_POSITIONING,GO:0016584
PROTEIN_DESUMOYLATION,GO:0016926
ANTIBIOTIC_METABOLIC_PROCESS,GO:0016999
ANTIBIOTIC_BIOSYNTHETIC_PROCESS,GO:0017000
ANTIBIOTIC_CATABOLIC_PROCESS,GO:0017001
PROTEIN_NITROSYLATION,GO:0017014
PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING,GO:0017121
PEPTIDYL_DIPHTHAMIDE_BIOSYNTHETIC_PROCESS_FROM_PEPTIDYL_HISTIDINE,GO:0017183
PEPTIDYL_LYSINE_HYDROXYLATION,GO:0017185
N_TERMINAL_PEPTIDYL_METHIONINE_ACETYLATION,GO:0017196
PEPTIDYL_LYSINE_MONOMETHYLATION,GO:0018026
PEPTIDYL_LYSINE_OXIDATION,GO:0018057
PROTEIN_COFACTOR_LINKAGE,GO:0018065
PROTEIN_POLYGLUTAMYLATION,GO:0018095
PROTEIN_C_LINKED_GLYCOSYLATION,GO:0018103
PROTEIN_OXIDATION,GO:0018158
PEPTIDYL_HISTIDINE_MODIFICATION,GO:0018202
PEPTIDYL_L_CYSTEINE_S_PALMITOYLATION,GO:0018230
PROTEIN_O_LINKED_GLYCOSYLATION_VIA_SERINE,GO:0018242
PROTEIN_O_LINKED_GLYCOSYLATION_VIA_THREONINE,GO:0018243
PROTEIN_GERANYLGERANYLATION,GO:0018344
PEPTIDYL_LYSINE_ACETYLATION,GO:0018394
PEPTIDYL_PROLINE_HYDROXYLATION_TO_4_HYDROXY_L_PROLINE,GO:0018401
ESTABLISHMENT_OF_VIRAL_LATENCY,GO:0019043
VIRION_ATTACHMENT_TO_HOST_CELL,GO:0019062
VIRAL_GENE_EXPRESSION,GO:0019080
VIRAL_TRANSLATION,GO:0019081
NEURONAL_ACTION_POTENTIAL_PROPAGATION,GO:0019227
PROPRIOCEPTION,GO:0019230
RESPONSE_TO_PHEROMONE,GO:0019236
CITRULLINE_BIOSYNTHETIC_PROCESS,GO:0019240
N_ACETYLNEURAMINATE_CATABOLIC_PROCESS,GO:0019262
FUCOSE_CATABOLIC_PROCESS,GO:0019317
PENTOSE_CATABOLIC_PROCESS,GO:0019323
PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS,GO:0019336
FATTY_ACID_ELONGATION_SATURATED_FATTY_ACID,GO:0019367
GALACTOLIPID_BIOSYNTHETIC_PROCESS,GO:0019375
GALACTOSE_CATABOLIC_PROCESS,GO:0019388
ALDITOL_BIOSYNTHETIC_PROCESS,GO:0019401
ALDITOL_CATABOLIC_PROCESS,GO:0019405
SULFIDE_OXIDATION,GO:0019418
TRYPTOPHAN_CATABOLIC_PROCESS_TO_KYNURENINE,GO:0019441
L_METHIONINE_SALVAGE_FROM_METHYLTHIOADENOSINE,GO:0019509
L_THREONINE_CATABOLIC_PROCESS_TO_GLYCINE,GO:0019518
TAURINE_METABOLIC_PROCESS,GO:0019530
SHORT_CHAIN_FATTY_ACID_CATABOLIC_PROCESS,GO:0019626
AEROBIC_ELECTRON_TRANSPORT_CHAIN,GO:0019646
ANTIBACTERIAL_HUMORAL_RESPONSE,GO:0019731
ANTIFUNGAL_HUMORAL_RESPONSE,GO:0019732
PEPTIDE_CROSS_LINKING_VIA_CHONDROITIN_4_SULFATE_GLYCOSAMINOGLYCAN,GO:0019800
PYRIMIDINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS,GO:0019856
AXONAL_TRANSPORT_OF_MITOCHONDRION,GO:0019896
CGMP_MEDIATED_SIGNALING,GO:0019934
SOMATIC_MOTOR_NEURON_DIFFERENTIATION,GO:0021523
CELL_PROLIFERATION_IN_HINDBRAIN,GO:0021534
CORPUS_CALLOSUM_MORPHOGENESIS,GO:0021540
